관리번호,공원명,공원구분,소재지도로명주소,소재지지번주소,위도,경도,공원면적,공원보유시설(운동시설),공원보유시설(유희시설),공원보유시설(편익시설),공원보유시설(교양시설),공원보유시설(기타시설),지정고시일,관리기관명,전화번호,데이터기준일자
41500-00032,증포3지구 어린이공원2,어린이공원,경기도 이천시 이섭대천로 1325,경기도 이천시 증포동 375-5,37.28772682,127.4502128,45,,흔들놀이기구+충격흡수용표면재 고무포설,,,,2013-05-20,경기도 이천시청,031-645-3844,2023-03-03
41500-00034,마장근린공원,근린공원,경기도 이천시 마장면 마장로 11,경기도 이천시 마장면 오천리 411,37.25393028,127.3541386,15317,운동기구,조합놀이대,주차장+화장실,도서관,,2012-09-21,경기도 이천시청,031-645-3844,2023-03-03
41360-00078,별내택지어린이공원3,어린이공원,경기도 남양주시 별내동 별내3로 285,,37.66271585,127.1164707,2743,,,,,,,경기도 남양주시청,031-590-8601,2022-12-07
41360-00085,별내택지 근린공원3,근린공원,경기도 남양주시 순화궁로 313,경기도 남양주시 별내동 939,37.65493394,127.1270364,31560,,,,,,,경기도 남양주시청,031-590-8601,2022-12-07
41360-00094,마석신도2차1호소공원,소공원,경기도 남양주시 화도읍 비룡로99번길 50,경기도 남양주시 화도읍 묵현리 625-2,37.6629166,127.2986365,295,,,,,,,경기도 남양주시청,031-590-8601,2022-12-07
41463-00021,제61호 어린이공원(상갈),어린이공원,경기도 용인시 기흥구 신갈로 12,경기도 용인시 기흥구 상갈동 102-5,37.26763322,127.1058181,1650,,,,,,1996-12-31,,,2023-01-16
41463-00028,제48호 근린공원(강남근린공원),어린이공원,경기도 용인시 기흥구 갈곡로12번길 1,경기도 용인시 기흥구 구갈동 598,37.27274411,127.1295592,189796,,,,,,2000-12-30,,,2023-01-16
41463-00001,제41호 근린공원(만골공원),근린공원,경기도 용인시 기흥구 기흥로116번길 10,경기도 용인시 기흥구 신갈동 산14,37.28617851,127.1135998,81927,,,,,,1975-05-06,,,2023-01-16
41463-00010,제58호 어린이공원(개나리),어린이공원,경기도 용인시 기흥구 중부대로55번길 59,경기도 용인시 기흥구 영덕동 915,37.269301,127.0755211,5937,,,,,,1989-12-29,,,2023-01-16
41463-00012,제36호 어린이공원(내기),어린이공원,경기도 용인시 기흥구 중부대로 495,경기도 용인시 기흥구 구갈동 271,37.28133463,127.1203325,1901,,,,,,1996-11-27,,,2023-01-16
41500-00001,설봉공원,근린공원,경기도 이천시 경충대로 2709번길 128,경기도 이천시 관고동 356,37.2794565,127.4275533,1644940,축구장+배드민턴장+농구장,조합놀이대,주차장+매점+화장실,대공연장,암벽등반장,1976-12-07,경기도 이천시청,031-645-3844,2023-03-03
41500-00002,온천공원,근린공원,경기도 이천시 애련정로136번길 84,경기도 이천시 창전동 503,37.28219691,127.4523174,114600,축구장+배드민턴장+농구장,조합놀이대,주차장+화장실,대공연장,,1976-12-07,경기도 이천시청,031-645-3844,2023-03-03
41500-00003,수변공원,수변공원,경기도 이천시 경충대로 2422번길 17,경기도 이천시 진리동 140,37.2681203,127.4605268,12040,배드민턴장+족구장,조합놀이대,화장실,,,2009-09-14,경기도 이천시청,031-645-3844,2023-03-03
41500-00004,심포니공원,어린이공원,경기도 이천시 서희로 82번길 46,경기도 이천시 창전동 139,37.2822978,127.4457782,2947,,조합놀이대,,,,1989-08-07,경기도 이천시청,031-645-3844,2023-03-03
41500-00006,희망공원,어린이공원,경기도 이천시 설봉로 43번길 49,경기도 이천시 관고동 21,37.2820958,127.4361472,683,농구대,조합놀이대,,,,1989-08-07,경기도 이천시청,031-645-3844,2023-03-03
41500-00007,한아름공원,어린이공원,경기도 이천시 중리천로 15,경기도 이천시 관고동 11,37.2807419,127.4396981,1297,농구대,조합놀이대,화장실,,,1989-08-07,경기도 이천시청,031-645-3844,2023-03-03
41220-00171,어제 3호 어린이공원(모산영신지구),어린이공원,경기도 평택시 지제동삭1로 163 (동삭동 더샵지제역센트럴파크1BL아파트),경기도 평택시 동삭동 412-14,37.016004,127.090542,1887,,,,,,2009-09-30,경기도 평택시청,031-8024-4248,2023-02-10
41220-00156,성동 어린이공원,어린이공원,경기도 평택시 비전로 27 (비전동),경기도 평택시 비전동 610-1,36.995889,127.093712,2210,어깨근육풀기+온몸역기내리기+온몸허리돌리기+하늘걷기,그네+그네보호대+모래포장+조합놀이대+흔들놀이,음수전,,산마루측구+우수관+원형수로관+자연석쌓기+집수정,1989-08-30,경기도 평택시청,031-8024-4248,2023-02-10
41220-00140,물방울(동부84호) 어린이공원(세교지구단위),어린이공원,경기도 평택시 은실1길 17-2 (세교동),경기도 평택시 세교동 190-4,37.003291,127.077025,2076,,,,,,2008-05-13,경기도 평택시청,031-8024-4248,2023-02-10
41220-00121,낙촌 어린이공원,어린이공원,경기도 평택시 비전1로 35-9 (비전동),경기도 평택시 비전동 784,37.001483,127.092427,2012,다리뻗치기+마라톤운동기+발바닥지압걷기+온몸돌리기+온몸역기내리기+온몸역기올리기+탄성고무칩포장+하늘걷기,그네+그네보호대+모래+시소(4인용)+조합놀이대+탄성고무칩포장+흔들놀이,,,맹암거(간선)+맹암거(지선)+우수관(PVC이중관)+집수정+흉관,1989-07-20,경기도 평택시청,031-8024-4248,2023-02-10
41220-00093,화촌1 소공원,소공원,경기도 평택시 화촌2길 7 (통복동),경기도 평택시 통복동 242-2,36.992578,127.072429,1176,다리뻗치기+등허리지압기+어깨근육풀기+온몸근육풀기+온몸허리돌리기+윗몸일으키기,고무매트포장+고무칩포장+그네+그네보호대+시소+조합놀이대,,,배수관(다발관)+빗물받이+집수정가림막+흉관,2009-09-22,경기도 평택시청,031-8024-4248,2023-02-10
41220-00067,내리 문화공원,문화공원,경기도 평택시 팽성읍 내리길 64-23,경기도 평택시 팽성읍 내리 산3-3,36.975255,127.032559,98886,,,,,,2013-04-15,경기도 평택시청,031-8024-4248,2023-02-10
41220-00026,안정 근린공원,근린공원,경기도 평택시 팽성읍 안정순환로267번길 42,경기도 평택시 팽성읍 송화리 68-55,36.960697,127.053128,26350,다리뻗치기+등허리지압기+마라톤운동+옆파도타기+온몸근육풀기+온몸노젓기+온몸역기내리기+온몸역기올리기+온몸허리돌리기+테니스 네트대+테니스장+하늘걷기,그네+모래포설+조합놀이대+흔들놀이,화장실,,기념비석+맹암거(간선)+맹암거(지선)+배변용모래밭+배수로+빗물받이+애견배변봉투함+우수관+조형석+집수정+테니스 연습옹벽+트랜치,1975-07-12,경기도 평택시청,031-8024-4248,2023-02-10
41220-00028,영신 제1호 근린공원(영신지구),근린공원,경기도 평택시 영신로 108 (동삭동),경기도 평택시 동삭동 589-3,37.018323,127.083491,13139,,,,,,2010-01-29,경기도 평택시청,031-8024-4248,2023-02-10
41220-00030,용이 근린공원(용이지구 3호),근린공원,경기도 평택시 현신3길 13 (용이동),경기도 평택시 용이동 441-1,36.996314,127.136287,21590,다리뻗치기+마라톤운동기+옆파도타기+온몸근육풀기+온몸역기내리기+온몸허리돌리기+윗몸일으키기+하늘걷기,벽사다리놀이기+시소+조합놀이대+탄성고무칩포장+흔들놀이,음수전+화장실+휠체어경사로,계단식관람석,PVC이중벽관+U형측구+떼수로+배수로+상수관로+새들분수전+집수정,2003-12-04,경기도 평택시청,031-8024-4248,2023-02-10
41220-00031,원동 근린공원 (모산영신지구),근린공원,경기도 평택시 지제동삭1로 163 (동삭동 더샵지제역센트럴파크1BL아파트),경기도 평택시 동삭동 467-9,37.022131,127.087362,11669,,,,,,2009-09-30,경기도 평택시청,031-8024-4248,2023-02-10
41220-00002,남산 근린공원,근린공원,경기도 평택시 팽성읍 팽성송화로 76,경기도 평택시 팽성읍 남산리 산49-1,36.954556,127.054893,43411,,,,,,2010-12-30,경기도 평택시청,031-8024-4248,2023-02-10
41220-00003,경기도 평택시 팽성읍 송화택지로25번길 61,근린공원,경기도 평택시 팽성읍 송화택지로25번길 63,경기도 평택시 팽성읍 송화리 789,36.961612,127.060809,15253.8,게이트볼장+마라톤운동기+심판의자+옆파도타기+온몸근육풀기+온몸노젓기+온몸역기올리기+온몸허리돌리기+윗몸일으키기+족구대+족구장+철봉+평행봉+하늘걷기,그네+그네보호대+모래포장+조합놀이대+흔들놀이,음수대+화장실,,맹암거(간선)+맹암거(지선)+빗물받이+옹벽+우수관+원형수로관+조각 조형물(가족)+집수정+트랜치,1999-03-19,경기도 평택시청,031-8024-4248,2023-02-10
41220-00008,동부 근린공원(비전3지구),근린공원,경기도 평택시 동부공원로 46 (비전동),경기도 평택시 비전동 880,36.993988,127.118683,29821,게이트볼장+농구대(이동식)+다리걸치기+데크관람대+배드민턴장+배드민턴지주대+벤치프레스+어깨근육풀기+옆파도타기+온몸근육풀기+온몸노젓기+온몸허리돌리기+운동장+윗몸일으키기+지압보도+철봉+철봉+링+팔굽혀피기+평행봉+풋살경기장+하늘걷기,그네+그네보호대+모래포장+인공암벽놀이대+조합놀이대+흔들놀이,음수전+화장실,,나트륨섭취관련 조형물+손씻기 조형물+집수정+청소년 담배끊기 조형물+치아건강 조형물+칼로리 둥근 조형물+트랜치,1994-01-11,경기도 평택시청,031-8024-4248,2023-02-10
41220-00010,동삭 근린공원(동삭지구 1호),근린공원,경기도 평택시 동삭1로22번길 40 (동삭동 지제더샵센트럴파크아파트),경기도 평택시 동삭동 산38-2,37.022762,127.090661,11039,,,,,,2009-03-09,경기도 평택시청,031-8024-4248,2023-02-10
41220-00015,비전 근린공원(매봉산),근린공원,경기도 평택시 매봉산5길 29 (비전동),경기도 평택시 비전동 274-6,36.995058,127.103395,0,,,,,,1975-11-15,경기도 평택시청,031-8024-4248,2023-02-10
41220-00420,신당 근린공원(포승공단),근린공원,경기도 평택시 포승읍 평택항로 98,경기도 평택시 포승읍 만호리 589,36.970051,126.84749,143996.8,농구대+미니축구대+심판대+야구장+야구장 기록실+온몸허리돌리기+족구대+축구대+테니스 네트대+테니스장+테니스장 라카룸,,자전거보관대+화장실,,배수로+스틸그레이팅+집수정+포승5지사순절추모비,2000-09-27,경기도 평택시청,031-8024-4248,2023-02-10
41220-00422,안중 근린공원(안중지구 택지개발),근린공원,경기도 평택시 안중읍 현화중앙길 75,경기도 평택시 안중읍 현화리 823-2,36.985234,126.920612,11016.2,3단 다리올리기+3단 철봉+3단건너기+게이트볼 컨테이너+게이트볼장+구름다리+다리근육풀기+배드민턴 네트대+온몸근육풀기+온몸허리돌리기+윗몸일으키기+지압길 포장+평균대+평행봉+하늘걷기,,음수전+화장실,,4각 오수 맨홀뚜껑+오수맨홀+우수맨홀+집수정+트랜치+화장실집수정,1995-05-02,경기도 평택시청,031-8024-4248,2023-02-10
41220-00384,좌울 어린이공원(동부 78호),어린이공원,경기도 평택시 지산1로24번길 4-13 (지산동),경기도 평택시 지산동 689-3,37.077063,127.059261,390,마라톤운동기+온몸허리돌리기,모래포장+시소+조합놀이대,,,집수정+트랜치,2005-12-19,경기도 평택시청,031-8024-4248,2023-02-10
41220-00388,충혼 어린이공원,어린이공원,경기도 평택시 송일로25번길 14 (서정동),경기도 평택시 서정동 855,37.064395,127.059783,1608.8,어깨근육풀기+온몸허리돌리기+윗몸일으키기+하늘걷기,고무칩포장+그네+그네보호대+모래포장+조합놀이대+흔들놀이,,,빗물받이+유공관+집수정+트랜치+흉관,1986-09-30,경기도 평택시청,031-8024-4248,2023-02-10
41220-00356,송북 어린이공원,어린이공원,경기도 평택시 지산로 101 (독곡동 대림아파트),경기도 평택시 독곡동 489,37.081727,127.064462,2211.8,마라톤+역기올리기+옆파도타기+온몸근육풀기+온몸역기내리기+온몸허리돌리기+윗몸일으켜기+자유철봉+하늘걷기,그네+그물오르기+미스트터널+조합놀이대+터널놀이+트랙라이더,음수전,,,1991-06-18,경기도 평택시청,031-8024-4248,2023-02-10
41220-00358,수촌1 어린이공원(수촌지구),어린이공원,경기도 평택시 새말로104번길 48 (칠원동),경기도 평택시 칠원동 산39-4,37.022154,127.108465,2071,,,,,,2009-12-16,경기도 평택시청,031-8024-4248,2023-02-10
41220-00373,제1호 어린이공원(브레인시티),어린이공원,경기도 평택시 삼남로 357 (장안동),경기도 평택시 장안동 60-1,37.057468,127.092162,1515,,,,,,2010-03-15,경기도 평택시청,031-8024-4248,2023-02-10
41220-00350,동부 106호 어린이공원(신촌지구),어린이공원,경기도 평택시 새말로 90-4 (칠원동),경기도 평택시 칠원동 388-4,37.024643,127.109529,5143,,,,,,2009-12-16,경기도 평택시청,031-8024-4248,2023-02-10
41220-00304,수변공원(브레인시티),수변공원,경기도 평택시 삼남로 236 (도일동),경기도 평택시 도일동 983-7,37.048381,127.098853,61615,,,,,,2010-03-15,경기도 평택시청,031-8024-4248,2023-02-10
41220-00308,통복2 수변공원(수촌지구),수변공원,경기도 평택시 수촌길 50 (칠원동),경기도 평택시 칠원동 286,37.020802,127.113503,13256,,,,,,2009-12-16,경기도 평택시청,031-8024-4248,2023-02-10
41220-00272,서정동 소공원(서정연립재건축),소공원,경기도 평택시 서정북로 100 (서정동 주공외인연립),경기도 평택시 서정동 780,37.069739,127.061914,4434.8,,,,,,2012-04-13,경기도 평택시청,031-8024-4248,2023-02-10
41220-00274,소공원 1호 (송원 현대재건축),소공원,경기도 평택시 탄현로368번길 48 (독곡동 현대연립),경기도 평택시 독곡동 산69-3,37.084785,127.060812,990,,,,,,2010-10-21,경기도 평택시청,031-8024-4248,2023-02-10
41220-00238,제1호 근린공원(가재지구),근린공원,경기도 평택시 가재길 52 (가재동),경기도 평택시 가재동 436-1,37.044253,127.07525,25600,,,,,,2011-11-25,경기도 평택시청,031-8024-4248,2023-02-10
41220-00240,제2호 근린공원(가재지구),근린공원,경기도 평택시 막곡길 45-14 (가재동),경기도 평택시 가재동 산58-1,37.042392,127.083782,16340,,,,,,2011-11-25,경기도 평택시청,031-8024-4248,2023-02-10
41220-00241,제2호 근린공원(브레인시티 일반산업단지),근린공원,경기도 평택시 삼남로 351 (장안동),경기도 평택시 장안동 61-4,37.056557,127.092852,13757,,,,,,2010-03-15,경기도 평택시청,031-8024-4248,2023-02-10
41220-00243,진위 근린공원,근린공원,경기도 평택시 진위면 견산1길 17-10,경기도 평택시 진위면 견산리 산16,37.109273,127.074837,36636,,,,,,2006-06-13,경기도 평택시청,031-8024-4248,2023-02-10
41220-00244,진위산업단지 근린공원,근린공원,경기도 평택시 진위면 진위산단로 53-21,경기도 평택시 진위면 청호리 342-4,37.122825,127.082002,12100.1,농구대+농구장+온몸역기올리기+온몸허리돌리기+윗몸일으키기+족구네트걸이+풋살골대,,음수전+화장실,,공사 기념비+수목보호대+집수정+트랜치,2006-09-18,경기도 평택시청,031-8024-4248,2023-02-10
41220-00216,LG Digital Park일반산업단지 근린공원,근린공원,경기도 평택시 진위면 엘지로 222,경기도 평택시 진위면 청호리 367,37.128946,127.091568,19939.5,체력단련시설+체력단련장1+체력단련장2,,,,도수로+벤치플륨관+산마루측구+우배수시설+우수맨홀+우수받이+우수받이연결관+절토구간+집수정+집수정연결관,2013-09-11,경기도 평택시청,031-8024-4248,2023-02-10
41220-00217,가곡 근린공원,근린공원,경기도 평택시 진위면 가곡1길 39,경기도 평택시 진위면 가곡리 70-1,37.11258,127.08718,18268,,,,,,2006-06-13,경기도 평택시청,031-8024-4248,2023-02-10
41220-00221,모곡 근린공원,근린공원,경기도 평택시 산단로52번길 21 (모곡동),경기도 평택시 모곡동 444,37.035404,127.075836,27546.6,게이트볼장+온몸근육풀기+온몸허리돌리기+윗몸일으키기+축구대+축구장+테니스 네트대+테니스 심판대+테니스장+하늘걷기,,자전거거치대+주차장+화장실,,PE 빗물받이+공단준공기념비+우수관+조회대+트랜치+하수관천공접합,1988-04-23,경기도 평택시청,031-8024-4248,2023-02-10
41220-00232,신장 근린공원,근린공원,경기도 평택시 신장로 124 (신장동),경기도 평택시 신장동 370-2,37.085894,127.051198,89174,2단 철봉+게이트볼장+농구대(이동식)+농구장+다리뻗치기+등허리지압기+마라톤운동기+벤치프레스+어깨근육풀기+옆파도타기+온몸근육풀기+온몸노젓기+온몸역기올리기+온몸허리돌리기+윗몸일으키기+인라인스케이트장+족구장+족구지주+하늘걷기,고무칩포장+그네+모형기차+조합놀이대,음수전+자전거보관대+화장실,,빗물받이+수목보호대+옹벽+우수관+준공기념비+측구수로,1987-05-11,경기도 평택시청,031-8024-4248,2023-02-10
41135-00063,솔밭공원,어린이공원,경기도 성남시 분당구 새마을로1번길 3,경기도 성남시 분당구 서현동 78-4,37.38461132,127.1305004,2234.3,,어린이놀이터,벤치+파고라,,,1990-06-22,경기도 성남시 분당구 녹지공원과,031-729-7463,2022-11-13
41135-00065,점골공원,어린이공원,경기도 성남시 분당구 불정로 419,경기도 성남시 분당구 서현동 332,37.37694545,127.1399836,4487.5,,어린이놀이터,벤치+파고라,,,1990-06-22,경기도 성남시 분당구 녹지공원과,031-729-7463,2022-11-13
41135-00066,양지공원,어린이공원,경기도 성남시 분당구 서현로421번길 9,경기도 성남시 분당구 분당동 101,37.37517435,127.1442164,1733,야외운동기구,어린이놀이터,벤치+파고라,,,1990-06-22,경기도 성남시 분당구 녹지공원과,031-729-7463,2022-11-13
41550-00006,진사소공원,소공원,경기도 안성시 공도읍 서동대로 3980,경기도 안성시 공도읍 진사리 354,36.99472602,127.1511383,1510,,,,,,2013-01-31,경기도 안성시청,031-678-5392,2023-03-21
41550-00092,퇴미1 공원(29호공원),근린공원,경기도 안성시 공도읍 공도로 116-70,경기도 안성시 공도읍 만정리 260-28,36.99878639,127.178638,14594,,,,,,2007-10-31,경기도 안성시청,031-678-5392,2023-03-21
41550-00093,퇴미2 공원(30호공원),근린공원,경기도 안성시 공도읍 공도로 116-84,경기도 안성시 공도읍 만정리 879,36.99901899,127.178851,10471,,,,,,2007-10-31,경기도 안성시청,031-678-5392,2023-03-21
41220-00522,10호소공원(세교 지구단위),소공원,경기도 평택시 평택로 192 (세교동),경기도 평택시 세교동 196-1번지,37.001779,127.076907,0,,,,,,2016-08-12,경기도 평택시청,031-8024-4248,2023-02-10
41220-00524,1호 소공원(지제지구),소공원,경기도 평택시 경기대로 701 (지제동),경기도 평택시 지제동 567-3,37.011929,127.072227,0,,,,,,2016-08-12,경기도 평택시청,031-8024-4248,2023-02-10
41220-00492,긴둥골 어린이공원(안중지구 택지개발),어린이공원,경기도 평택시 안중읍 안중로18번길 18,경기도 평택시 안중읍 현화리 859,36.983129,126.926768,3239.7,배드민턴장+배드민턴지주대+옆파도타기+온몸근육풀기+온몸허리돌리기+하늘걷기,고무매트포장+그네+그네보호대+모래포장+시소+조합놀이대+흔들놀이,육각형 음수전+화장실,,조형 출입기둥+집수정,1995-05-02,경기도 평택시청,031-8024-4248,2023-02-10
41220-00476,대반리 소공원(대반지구),소공원,경기도 평택시 안중읍 대반4길 73-11,경기도 평택시 안중읍 대반리 468-3,36.980019,126.953661,888,,,,,,2012-06-14,경기도 평택시청,031-8024-4248,2023-02-10
41220-00442,당거3리 마을쉼터,기타,경기도 평택시 오성면 당거3길 48-2,경기도 평택시 오성면 당거리 9-2,36.989333,127.006579,1140,고무매트포장+농구대+농구코트+등허리지압기+발바닥지압걷기+온몸근육풀기+온몸허리돌리기+하늘걷기,고무매트포장+시소+조합놀이대+흔들놀이,음수전,,수목보호대+트랜치,,경기도 평택시청,031-8024-4248,2023-02-10
41220-00426,율리 근린공원,근린공원,경기도 평택시 안중읍 덕우로 1,경기도 평택시 안중읍 학현리 산65-1,36.99126,126.927811,0,,,,,,1972-08-25,경기도 평택시청,031-8024-4248,2023-02-10
41220-00432,현화 근린공원(안중지구 택지개발),근린공원,경기도 평택시 안중읍 안현로서8길 48,경기도 평택시 안중읍 현화리 829,36.980542,126.920402,20534.7,다리근육풀기+다리뻗치기+등허리지압기+마라톤운동기+어깨근육풀기+옆파도타기+온몸근육풀기+온몸역기올리기+온몸허리돌리기+윗몸일으키기+자유철봉+지압길 포장+평행봉+하늘걷기,고무칩포장+물놀이장 물놀이대+조합놀이대,화장실+휠체어경사로,,교육의 선구자 기념비+디자인집수정+디자인트랜치+맨홀+우수맨홀+원주목 사면보호대+집수정+측량기준점+트랜치,1995-05-02,경기도 평택시청,031-8024-4248,2023-02-10
41220-00439,길음1리 마을쉼터,기타,경기도 평택시 오성면 길음1길 57-4,경기도 평택시 오성면 길음리 81-1,36.989066,126.963737,1147,등허리지압기+어깨근육풀기+온몸근육풀기+온몸허리돌리기+하늘걷기,흔들놀이,,,배수로+벤치플륨관 +수목보호덮개+스틸그레이팅+원심력수로관+집수정+트랜치+흉관,,경기도 평택시청,031-8024-4248,2023-02-10
41390-00113,갈대하늘공원,근린공원,경기도 시흥시,경기도 시흥시 정왕동 2579-2,37.35863879,126.7103801,18818,,,,,,2011-10-04,경기도 시흥시청,031-310-3863,2022-11-28
41390-00114,문화공원,문화공원,경기도 시흥시,경기도 시흥시 정왕동 2134,37.33327055,126.746155,14346,,,,,,2011-10-28,경기도 시흥시청,031-310-3862,2022-11-28
41390-00115,힘찬공원,체육공원,경기도 시흥시 엠티브이북로 253,경기도 시흥시 정왕동 2659,37.318068,126.704841,38552,,,,,,2011-11-04,경기도 시흥시청,031-310-3869,2022-11-28
41390-00116,해찬공원,어린이공원,경기도 시흥시,경기도 시흥시 산현동 519,37.37289246,126.8477485,1517,,,,,,2011-12-21,경기도 시흥시청,031-310-3871,2022-11-28
41390-00117,을미공원,어린이공원,경기도 시흥시,경기도 시흥시 조남동 681,37.37153568,126.854846,1557,,,,,,2011-12-21,경기도 시흥시청,031-310-3871,2022-11-28
41390-00118,수풀안공원,어린이공원,경기도 시흥시,경기도 시흥시 조남동 722,37.37865922,126.863483,1697,,,,,,2011-12-21,경기도 시흥시청,031-310-3871,2022-11-28
41390-00119,다니공원,체육공원,경기도 시흥시 마산로 43,경기도 시흥시 조남동 689,37.37581307,126.856496,12096,,,,,,2011-12-21,경기도 시흥시청,031-310-3869,2022-11-28
41390-00120,새미공원,체육공원,경기도 시흥시,경기도 시흥시 조남동 705,37.37743285,126.8574734,15911,,,,,,2011-12-21,경기도 시흥시청,031-310-3869,2022-11-28
41390-00121,물왕소공원,소공원,경기도 시흥시,경기도 시흥시 산현동 493,37.377381,126.8430459,1421,,,,,,2014-09-22,경기도 시흥시청,031-310-3871,2022-11-28
41390-00122,남왕소공원,소공원,경기도 시흥시,경기도 시흥시 목감동 400,37.38364942,126.860952,882,,,,,,2014-09-22,경기도 시흥시청,031-310-3871,2022-11-28
41390-00123,새늘공원,문화공원,경기도 시흥시 동서로 902-20,경기도 시흥시 산현동 495,37.37795182,126.8461768,4653,,,,,,2014-09-22,경기도 시흥시청,031-310-3869,2022-11-28
41390-00124,문화2공원,문화공원,경기도 시흥시,경기도 시흥시 조남동 649,37.37763818,126.8499161,4222,,,,,,2014-09-23,경기도 시흥시청,031-310-3869,2022-11-28
41390-00125,정왕동 체육4공원,체육공원,경기도 시흥시,경기도 시흥시 정왕동 1878-1,37.36540222,126.7311343,11676,,,,,,2014-12-31,경기도 시흥시청,031-310-3862,2022-11-28
41390-00126,정왕동 체육5공원,체육공원,경기도 시흥시 함송로 8,경기도 시흥시 정왕동 1886-1,37.364027,126.728511,10117,,,,,,2014-12-31,경기도 시흥시청,031-310-3862,2022-11-28
41390-00127,하중어린이공원,어린이공원,경기도 시흥시,경기도 시흥시 하중동 872-2,37.39119172,126.8072188,2810,,조합놀이대,,,,2018-05-15,경기도 시흥시청,031-310-3871,2022-11-28
41390-00128,생금공원,어린이공원,경기도 시흥시 죽율로 45-32,경기도 시흥시 죽율동 765,37.350594,126.758275,7360,,,,,,,경기도 시흥시청,031-310-3871,2022-11-28
41390-00129,죽율공원,어린이공원,경기도 시흥시,경기도 시흥시 죽율동 755,37.34805344,126.7621865,1806,,,,,,,경기도 시흥시청,031-310-3871,2022-11-28
41390-00130,꿈누리공원,어린이공원,경기도 시흥시,경기도 시흥시 정왕동 2759,37.3191123,126.697642,2266,,,,,,,경기도 시흥시청,031-310-3863,2022-11-28
41390-00131,꿈자람공원,어린이공원,경기도 시흥시,경기도 시흥시 정왕동 2788,37.31664596,126.7031618,1907,,,,,,,경기도 시흥시청,031-310-3863,2022-11-28
41390-00132,꿈물결공원,어린이공원,경기도 시흥시,경기도 시흥시 정왕동 2810,37.31781215,126.696343,2341,,,,,,,경기도 시흥시청,031-310-3863,2022-11-28
41390-00133,오이도공원,문화공원,경기도 시흥시,경기도 시흥시 정왕동 2022-6,37.3420815,126.6902007,18355,,조합놀이대,,,,,경기도 시흥시청,031-310-2338,2022-11-28
